City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Te Anau,NZ,-45.4167,167.7167,62.56,56,58,6.64,broken clouds
121,Matveyevka,RU,52.15,56.1833,4.19,87,100,7.83,overcast clouds
122,Saint Anthony,US,45.0205,-93.218,14.32,51,100,4.0,overcast clouds
123,Hamilton,US,39.1834,-84.5333,25.43,89,100,1.99,mist
124,Ilulissat,GL,69.2167,-51.1,17.62,45,100,21.85,overcast clouds
125,Ribeira Grande,PT,38.5167,-28.7,55.8,67,40,5.75,scattered clouds
126,Provideniya,RU,64.3833,-173.3,-1.21,98,18,3.27,few clouds
127,Sakakah,SA,29.9697,40.2064,44.17,52,34,6.44,scattered clouds
128,Pacific Grove,US,36.6177,-121.9166,71.71,28,0,1.99,clear sky
129,Korla,CN,41.7597,86.1469,21.11,64,0,4.92,clear sky
130,Nabire,ID,-3.3667,135.4833,76.8,89,99,2.73,overcast clouds
131,Nemuro,JP,43.3236,145.575,21.22,85,100,11.01,overcast clouds
132,Hithadhoo,MV,-0.6,73.0833,80.31,63,50,5.99,scattered clouds
133,Barrow,US,71.2906,-156.7887,-11.18,70,100,16.11,overcast clouds
134,Tubuala,PA,9.5167,-79.0333,89.71,73,12,11.12,few clouds
135,Mar Del Plata,AR,-38.0023,-57.5575,73.42,72,0,21.0,clear sky
136,Alice Springs,AU,-23.7,133.8833,72.95,100,100,10.36,overcast clouds
137,Kapra,IN,17.4846,78.561,59.7,33,28,6.26,scattered clouds
138,Kaitangata,NZ,-46.2817,169.8464,63.93,66,91,0.78,overcast clouds
139,Hermitage,US,41.2334,-80.4487,25.38,80,100,1.01,overcast clouds
140,Khatanga,RU,71.9667,102.5,-1.62,87,100,5.01,overcast clouds
141,Jibuti,DJ,11.5,42.5,71.02,70,49,7.76,scattered clouds
142,Kumluca,TR,36.3703,30.2869,41.68,72,23,5.14,few clouds
143,Port Lincoln,AU,-34.7333,135.8667,66.87,75,86,15.23,overcast clouds
144,Karymskoye,RU,51.6167,114.35,-18.33,100,31,3.56,scattered clouds
145,Kununurra,AU,-15.7667,128.7333,80.58,89,100,6.91,overcast clouds
146,Bitung,ID,1.4451,125.1824,76.05,87,76,6.73,light rain
147,Spencer,US,43.1414,-95.1444,28.08,60,100,11.5,overcast clouds
148,Avera,US,33.194,-82.5271,51.75,52,100,9.93,overcast clouds
149,Treinta Y Tres,UY,-33.2333,-54.3833,69.33,69,77,8.39,broken clouds
150,Sovetskaya,RU,44.7769,41.1722,28.42,85,63,6.17,broken clouds
151,Howell,US,42.6073,-83.9294,19.74,66,0,6.91,clear sky
152,Bubaque,GW,11.2833,-15.8333,78.08,66,20,16.31,few clouds
153,Kosai,JP,34.7105,137.5316,40.86,51,98,8.48,overcast clouds
154,Acapulco,MX,16.8634,-99.8901,85.82,66,0,9.22,clear sky
155,Aquidauana,BR,-20.4711,-55.7872,81.64,75,56,1.5,light rain
156,Roald,NO,62.5833,6.1333,44.65,75,75,21.85,broken clouds
157,Berezovyy,RU,51.6667,135.7,-18.33,96,89,3.85,overcast clouds
158,Ocos,GT,14.5094,-92.1933,93.7,61,2,12.75,clear sky
159,Catio,GW,11.2833,-15.25,74.44,64,10,7.76,clear sky
160,Yanam,IN,16.7333,82.2167,67.6,90,33,4.27,scattered clouds
161,Taksimo,RU,56.3444,114.8794,-16.53,91,49,2.24,scattered clouds
162,Turukhansk,RU,65.8167,87.9833,-0.96,94,100,12.39,overcast clouds
163,Plastun,RU,44.7561,136.2939,5.32,64,10,9.42,clear sky
164,Lampa,CL,-33.2833,-70.9,82.08,36,0,19.57,clear sky
165,Lavrentiya,RU,65.5833,-171.0,-9.04,97,6,3.98,clear sky
166,Ketchikan,US,55.3422,-131.6461,45.07,93,100,14.97,mist
167,Yining,CN,29.0361,114.5636,34.41,100,100,2.3,light snow
168,Sungaipenuh,ID,-2.0833,101.3833,63.25,95,98,3.74,overcast clouds
169,Pisco,PE,-13.7,-76.2167,77.05,61,0,19.57,clear sky
170,Havelock,US,34.8791,-76.9013,46.63,85,100,10.36,moderate rain
171,Aquiraz,BR,-3.9014,-38.3911,78.22,93,100,9.91,overcast clouds
172,Dali,CN,25.7,100.1833,36.37,89,2,4.29,clear sky
173,Esperance,AU,-33.8667,121.9,58.84,83,0,12.97,clear sky
174,Taos,US,36.4072,-105.5731,41.2,48,0,1.99,clear sky
175,Pevek,RU,69.7008,170.3133,-17.16,100,36,2.59,scattered clouds
176,Namibe,AO,-15.1961,12.1522,72.57,82,100,6.22,overcast clouds
177,Gremyachinsk,RU,58.5603,57.851,-1.39,100,100,2.35,overcast clouds
178,Zeya,RU,53.75,127.2667,-7.11,85,32,5.68,scattered clouds
179,Shirokiy,RU,49.758,129.523,-25.01,96,17,6.24,few clouds
180,Canaries,ES,28.0,-15.5,55.36,67,20,12.66,few clouds
181,Naryan-Mar,RU,67.6713,53.087,-1.39,97,99,9.69,overcast clouds
182,Xinzhi,CN,36.4989,111.7047,29.97,79,11,1.86,few clouds
183,Nome,US,64.5011,-165.4064,-9.83,64,0,0.0,clear sky
184,Loa Janan,ID,-0.583,117.095,70.88,99,100,1.54,overcast clouds
185,Chokurdakh,RU,70.6333,147.9167,-31.41,96,95,2.59,overcast clouds
186,Urucara,BR,-2.5364,-57.76,76.24,94,99,2.08,overcast clouds
187,Ulaangom,MN,49.9811,92.0667,-21.95,88,89,3.22,overcast clouds
188,Fort-Shevchenko,KZ,44.5086,50.263,32.58,68,56,15.03,broken clouds
189,Assiniboia,CA,49.6334,-105.9845,31.91,64,97,12.66,overcast clouds
190,Tromso,NO,69.6496,18.957,24.82,80,75,3.0,light snow
191,Elista,RU,46.3078,44.2558,21.72,85,25,4.0,scattered clouds
192,Upernavik,GL,72.7868,-56.1549,2.44,64,100,8.95,overcast clouds
193,Quatre Cocos,MU,-20.2078,57.7625,78.91,82,27,9.86,light rain
194,Mombasa,KE,-4.0547,39.6636,79.21,83,40,6.91,scattered clouds
195,Ancud,CL,-41.8697,-73.8203,80.13,62,0,9.53,clear sky
196,Haaren,NL,51.6025,5.2222,44.89,75,100,1.99,mist
