City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Nambucca Heads,AU,2022-01-24 06:54:20,-30.65,153.0,77.0,68,99,11.32
121,Iqaluit,CA,2022-01-24 06:54:21,63.7506,-68.5145,-9.31,69,75,15.99
122,Smithers,CA,2022-01-24 06:53:10,54.7804,-127.1743,28.72,100,100,2.3
123,Atasu,KZ,2022-01-24 06:54:22,48.6814,71.6433,13.05,79,100,5.5
124,Gornopravdinsk,RU,2022-01-24 06:54:22,60.05,69.9,6.62,94,74,4.34
125,Fairbanks,US,2022-01-24 06:53:45,64.8378,-147.7164,26.98,87,0,9.22
126,Udhampur,IN,2022-01-24 06:54:23,32.9333,75.1333,53.08,71,84,3.18
127,Leninsk,RU,2022-01-24 06:54:23,48.7119,45.1994,17.46,93,100,13.47
128,Yabrud,SY,2022-01-24 06:54:24,33.9674,36.6574,33.46,84,60,6.98
129,Lompoc,US,2022-01-24 06:54:24,34.6391,-120.4579,57.42,43,0,3.44
130,Mogadishu,SO,2022-01-24 06:53:56,2.0371,45.3438,82.27,69,0,20.71
131,Chokurdakh,RU,2022-01-24 06:54:25,70.6333,147.9167,-22.81,99,100,5.86
132,Klaksvik,FO,2022-01-24 06:54:25,62.2266,-6.589,38.32,69,73,30.91
133,Lafiagi,NG,2022-01-24 06:54:26,8.8667,5.4167,72.19,19,0,2.35
134,Balkhash,KZ,2022-01-24 06:54:26,46.844,74.9804,11.01,85,40,13.42
135,Porto Belo,BR,2022-01-24 06:54:27,-27.1578,-48.5531,78.78,84,96,7.18
136,Fortuna,US,2022-01-24 06:54:27,40.5982,-124.1573,45.09,65,3,4.41
137,Nara,JP,2022-01-24 06:54:28,34.6851,135.8049,47.57,55,0,9.71
138,Sorrento,IT,2022-01-24 06:54:28,40.626,14.3744,47.77,81,75,11.01
139,Barentu,ER,2022-01-24 06:54:29,15.1139,37.5928,72.41,52,0,4.79
140,Ostrovnoy,RU,2022-01-24 06:49:43,68.0531,39.5131,36.03,95,100,35.14
141,Srednekolymsk,RU,2022-01-24 06:55:29,67.45,153.6833,-25.44,99,99,6.82
142,Westport,US,2022-01-24 06:55:30,41.1415,-73.3579,31.8,92,98,1.01
143,Joacaba,BR,2022-01-24 06:55:30,-27.1781,-51.5047,68.77,97,39,2.33
144,Yar-Sale,RU,2022-01-24 06:55:31,66.8333,70.8333,2.57,96,46,12.48
145,Severo-Kurilsk,RU,2022-01-24 06:51:41,50.6789,156.125,23.76,73,91,9.33
146,Karratha,AU,2022-01-24 06:55:31,-20.7377,116.8463,92.17,53,38,13.0
147,Fondi,IT,2022-01-24 06:55:32,41.3541,13.4313,45.23,64,2,3.67
148,Kruisfontein,ZA,2022-01-24 06:55:32,-34.0033,24.7314,83.62,44,0,16.73
149,Onalaska,US,2022-01-24 06:55:33,43.8844,-91.2351,11.32,82,100,6.91
150,Salalah,OM,2022-01-24 06:55:33,17.0151,54.0924,75.7,23,0,13.71
151,Calamar,CO,2022-01-24 06:55:34,10.2511,-74.9146,76.95,79,25,4.03
152,Egvekinot,RU,2022-01-24 06:55:34,66.3167,-179.1667,-23.31,92,20,6.53
153,Santo Amaro Da Imperatriz,BR,2022-01-24 06:55:34,-27.6881,-48.7786,78.62,98,71,2.89
154,Epe,NG,2022-01-24 06:55:35,6.5841,3.9834,72.77,79,12,2.89
155,Yefremov,RU,2022-01-24 06:55:35,53.1481,38.0992,15.22,95,100,13.2
156,Saint-Georges,GD,2022-01-24 06:55:36,12.0564,-61.7485,76.68,78,20,16.11
157,Skibbereen,IE,2022-01-24 06:55:36,51.55,-9.2667,46.2,87,100,8.21
158,Warwick,US,2022-01-24 06:51:38,41.7001,-71.4162,29.39,80,100,3.94
159,Hendaye,FR,2022-01-24 06:55:37,43.3717,-1.7738,40.75,83,0,2.3
160,Bethel,US,2022-01-24 06:55:38,41.3712,-73.414,29.75,89,98,1.5
161,Domat,CH,2022-01-24 06:55:38,46.8348,9.4508,38.07,62,2,6.26
162,Lulea,SE,2022-01-24 06:55:38,65.5842,22.1547,37.47,81,0,16.11
163,Provideniya,RU,2022-01-24 06:55:39,64.3833,-173.3,8.91,97,100,4.83
164,Touros,BR,2022-01-24 06:55:24,-5.1989,-35.4608,76.1,78,17,8.32
165,Leningradskiy,RU,2022-01-24 06:55:39,69.3833,178.4167,-14.13,92,100,5.23
166,Raudeberg,NO,2022-01-24 06:55:40,61.9875,5.1352,41.86,94,100,5.99
167,Knysna,ZA,2022-01-24 06:55:40,-34.0363,23.0471,70.18,69,50,10.49
168,Sao Filipe,CV,2022-01-24 06:55:41,14.8961,-24.4956,75.25,65,99,6.17
169,Muros,ES,2022-01-24 06:55:41,42.7762,-9.0603,43.23,84,14,4.88
170,Ohara,JP,2022-01-24 06:55:42,35.25,140.3833,54.01,54,100,24.34
171,Santa Clarita,US,2022-01-24 06:55:42,34.3917,-118.5426,62.96,28,0,1.01
172,Constitucion,CL,2022-01-24 06:54:25,-35.3333,-72.4167,56.8,79,0,8.34
173,Deputatskiy,RU,2022-01-24 06:55:43,69.3,139.9,-16.64,97,100,3.98
174,Ilo,PE,2022-01-24 06:55:43,-17.6394,-71.3375,70.65,86,100,5.5
175,Maneadero,MX,2022-01-24 06:55:44,31.7167,-116.5667,58.93,42,0,6.42
176,Sinjai,ID,2022-01-24 06:55:44,-5.1241,120.253,88.59,59,56,0.92
177,Kijang,KR,2022-01-24 06:55:45,35.2442,129.2139,46.13,57,99,16.11
178,Bengkulu,ID,2022-01-24 06:55:45,-3.8004,102.2655,79.32,90,60,15.12
179,Singaraja,ID,2022-01-24 06:55:46,-8.112,115.0882,88.97,65,46,8.01
180,Jiuquan,CN,2022-01-24 06:55:46,39.7432,98.5174,30.51,36,0,3.0
181,Port Lincoln,AU,2022-01-24 06:55:47,-34.7333,135.8667,73.94,79,40,4.14
182,Meulaboh,ID,2022-01-24 06:55:47,4.1363,96.1285,84.24,68,27,6.78
183,Bredasdorp,ZA,2022-01-24 06:55:48,-34.5322,20.0403,69.28,68,59,14.36
184,San Juan Del Sur,NI,2022-01-24 06:55:48,11.2529,-85.8705,76.39,82,8,20.8
185,Ribeira Grande,PT,2022-01-24 06:49:43,38.5167,-28.7,59.02,65,6,5.79
186,Coquimbo,CL,2022-01-24 06:54:34,-29.9533,-71.3436,62.76,83,21,1.81
187,Georgetown,MY,2022-01-24 06:54:40,5.4112,100.3354,91.33,70,40,7.0
188,Broome,US,2022-01-24 06:56:49,42.2506,-75.833,17.17,85,94,5.99
189,Edosaki,JP,2022-01-24 06:56:50,35.95,140.3167,52.02,51,83,5.99
190,Vardo,NO,2022-01-24 06:56:50,70.3705,31.1107,35.58,87,75,16.11
191,Kavaratti,IN,2022-01-24 06:56:51,10.5669,72.642,79.5,66,82,14.14
192,Hithadhoo,MV,2022-01-24 06:56:51,-0.6,73.0833,81.97,73,59,16.02
193,Kununurra,AU,2022-01-24 06:56:52,-15.7667,128.7333,82.38,83,100,12.66
194,Mahibadhoo,MV,2022-01-24 06:56:52,3.7833,72.9667,81.36,65,53,14.65
195,Pimentel,PE,2022-01-24 06:56:53,-6.8367,-79.9342,69.24,88,17,9.95
196,Saint-Joseph,RE,2022-01-24 06:56:53,-21.3667,55.6167,82.78,82,51,17.92
197,Etchoropo,MX,2022-01-24 06:56:54,26.7667,-109.6667,58.41,69,100,9.28
198,Cozumel,MX,2022-01-24 06:56:54,20.5083,-86.9458,71.11,90,80,12.12
